Beer Name,Brewery,Beer Style,ABV
Bloktoberfest,Atwater Brewery,Märzen,6.3
Blondie,B.O.B.'s Brewery,Golden Ale,4.5
Blood & Honey,Revolver Brewing,Pale Wheat Ale - American,7
Blood Orange Honey,Cheboygan Brewing Company,Pale Wheat Ale - American,5.7
Bloody Orange Wheat,Odd Side Ales,Pale Wheat Ale - American,5.4
Blue Paddle,New Belgium Brewing Company,Pilsner - Czech,4.8
Blueberry Cobbler,Atwater Brewery,Fruit Beer,8
Blur Texas Hefe,Circle Brewing Co.,Hefeweizen,4.6
Blushing Monk (2015),Founders Brewing Co.,Fruit Beer,9.2
Bobinator,B.O.B.'s Brewery,Doppelbock ,8.5
Boffo Brown Ale,Dark Horse Brewing Co.,Brown Ale - American,7
Bolshevik Bastard,Nickel Brook Brewing Co.,Stout - Russian Imperial,9
Bonecrusher Stout,Schmohz Brewing Company,Stout - American,6.4
Bourbon Abominable,Fremont Brewing,Winter Ale,11
Bourbon Barrel 4th Dimension Olde Ale With Brett,Kuhnhenn Brewing Company ,Old Ale,13.5
Bourbon Barrel Aged Citra Pale Ale,Odd Side Ales,Pale Ale - American,5.75
Bourbon Barrel Aged Lucifer's Cuvée,Latitude 42 Brewing Company,Stout - Imperial / Double,11
Bourbon Barrel Aged Teufel Weizen Dopplebock,Atwater Brewery,Bock,10.9
Bourbon Happy Jack,Short's Brewing Company,Scottish Ale,5.5
Bourbon Imperial Screamin' Pumpkin,Griffin Claw Brewing Company,Pumpkin / Yam Beer,9
Breakfast Stout,Founders Brewing Co.,Stout - American Imperial / Double,8.3
Breath of the Dragon English Bitter,Dragonmead Microbrewery,English Bitter,4.5
Brew Askew,Superior Lakes,Mead,11
Brick Red Ale,Royal Oak Brewery,Red Ale - American Amber / Red,0
Brik,MIP BEER,Red Ale - Irish,5.2
BRIPA,Brewery Vivant,IPA - Black / Cascadian Dark Ale,6.25
Bristlecone Brown Ale,Uinta Brewing Company,Brown Ale - American,4
Broken Promises,Greenbush Brewing Company,IPA - American,7.9
Bucktricity Kills,Short's Brewing Company,Berliner Weisse,3.2
Bud Light,Anheuser-Busch,Lager - American Light,4.2
Bud Light & Clamato Chelada,Anheuser-Busch,Fruit Beer,4.2
Bud Light Platinum,Anheuser-Busch,Lager - American Light,6
Budweiser,Anheuser-Busch,Lager - North American Adjunct,5
Budweiser Select,Anheuser-Busch,Lager - American Light,4.3
Burning River Pale Ale,Great Lakes Brewing Company ,Pale Ale - American,6
Burton Baton (2015),Dogfish Head Craft Brewery,IPA - Imperial / Double,10
Butt Head Bock Lager,Tommyknocker Brewery,Doppelbock ,8.2
Cabin Fever Brown Ale,New Holland Brewing Company,Brown Ale - American,6.5
Calypso Berliner Weisse Enigma,Siren Craft Brew,Berliner Weisse,4
Capricorn Dark Chocolate Absinthe Donut Stout,Harmony Brewing Company,Stout - American,8
Car Ramrod,Meadowlark Brewing,Pilsner - Imperial / Double,7.7
Caramel Nitro,Perrin Brewing Co.,Other,3.9
Carob Stout,Short's Brewing Company,Stout - American,6.4
Castaway IPA,Kona Brewing Company,IPA - American,6
Castlebrite Apricot Ale,Dragonmead Microbrewery,Fruit Beer,5.1
Cellar Series: Chocolate,Woodchuck Cidery,Cider,6.9
Cemeterian,Brewery Vivant,Belgian Strong Dark Ale,6.7
Centennial IPA,Founders Brewing Co.,IPA - American,7.2
Centennial Silver Foam,Grand Rapids Brewing Company,Pilsner - Other,4.5
CEO Stout,Right Brain Brewery,Stout - Other,5.5
Cereal Killer Barleywine,Arcadia Brewing Company (Arcadia Ales),Barleywine - English,10
Cerveza de Julie,Short's Brewing Company,Lager - North American Adjunct,5
Chai-Spiced Imperial Russian Stout (2015),Stone Brewing Company,Stout - Russian Imperial,10.6
Cheap Date,Arcadia Brewing Company (Arcadia Ales),Pale Ale - American,4.3
Cherry Stout,Atwater Brewery,Stout - American,6.5
Cherry' O,Cranker's Brewery,Pale Wheat Ale - American,5.5
Chi Town Windy City Wheat,Chicago Beer Company,Witbier,5
Chillindamos,Odd Side Ales,Lager - Pale,4.5
Chimay Blanche (Cinq Cents),Bières de Chimay (Abbaye Notre Dame de Scourmont),Belgian Tripel,8
Chimay Bleue (Grande Réserve),Bières de Chimay (Abbaye Notre Dame de Scourmont),Belgian Strong Dark Ale,9
CHIMP,Blue Moon Brewing Company,Pale Wheat Ale - American,9.5
Chinnicks Wit,Grand Rapids Brewing Company,Berliner Weisse,4.6
Chocolade Koffie Stout,Odd Side Ales,Stout - Other,6
Chocolate Sombrero,Clown Shoes,Stout - American Imperial / Double,9
Christmas Ale,Great Lakes Brewing Company ,Winter Ale,7.5
Citra Melon Session Ale,Paw Paw Brewing Company,IPA - Session / India Session Ale,4.8
Citra Sunshine Slacker,Evil Twin Brewing,IPA - Session / India Session Ale,4.5
Claw-Town Cream Ale,Black Lotus Brewery,Cream Ale,4.4
Clementine,Clown Shoes,Witbier,6
Clementine Lemon-Thyme,Liberty Street Brewing Company,Pale Wheat Ale - American,5.5
Closure,Greenbush Brewing Company,Pale Ale - American,6.1
Cobblestone Stout,Mill Street Brewery,Stout - Irish Dry,4.2
Cocoa Mole (Lips of Faith),New Belgium Brewing Company,Chile Beer,9
Colt 45,Pabst Brewing Company,Malt Liquor ,6.1
Consecrator Doppelbock,"Bell's Brewery, Inc.",Doppelbock ,8
Convict Hill,Independence Brewing Co.,Stout - Oatmeal,8
Cool Hand Cuke,Right Brain Brewery,Saison / Farmhouse Ale,6.1
Coors Light,Coors Brewing Company,Lager - American Light,4.2
Coors Light Citrus Radler,Coors Brewing Company,Radler,4.2
Coors Light Summer Brew,Coors Brewing Company,Radler,3.9
Coors Original,Coors Brewing Company,Lager - North American Adjunct,5
Corktown Rye IPA,Atwater Brewery,Rye Beer / Rye IPA,6.2
Cornlaboration,Perrin Brewing Co.,Pilsner - Other,5.8
"Corona Extra (Coronita, Familiar, Mega)",Grupo Modelo S.A. de C.V.,Lager - North American Adjunct,4.6
Courthouse Kolsch,Tilted Axis Brewing Company,Kölsch,4
Cran-Spruce Ale,Alaskan Brewing Co.,Witbier,5.8
Cranberry Ginger Shandy,Jacob Leinenkugel Brewing Company,Radler,4.2
Creamsicle Stout,Saugatuck Brewing Company,Stout - American,4.6
Crim Stout,Sherwood Brewing Company,Stout - Other,0
Crimson King,B.O.B.'s Brewery,Red Ale - American Amber / Red,5.8
Crisp Apple,Angry Orchard Cider Company,Cider,5
Critical Stout,Tenacity Brewing,Stout - American,5.6
Crooked Tree IPA,Dark Horse Brewing Co.,IPA - American,6.5
Crystal Pale Ale,Boston Beer Company (Samuel Adams),Pale Ale - American,5.3
Custom Blonde,Woodward Avenue Brewers,Lager - Pale,5
Custom Porter,Woodward Avenue Brewers,Porter - Other,5.2
Cyrus Black IPA,Royal Oak Brewery,IPA - Black / Cascadian Dark Ale,6.75
Czech Engine Light Pilsner,Woodward Avenue Brewers,Pilsner - Czech,5
Dale's Pale Ale,Oskar Blues Brewery,Pale Ale - American,6.5
Dallas Blonde,Deep Ellum Brewing Company,Blonde Ale,5.2
Dark Helmet Schwarzbier,Kuhnhenn Brewing Company ,Schwarzbier,6.5
Dark Mild,Cains,English Mild Ale,3.2
Dark Passenger (2014),Griffin Claw Brewing Company,Wheat Wine,12
Dark Wheat,Falling Down Beer Company,Pale Wheat Ale - American,5.2
Deacon Blues,Short's Brewing Company,Pale Ale - Belgian,4.4
Dead Monk Abbey Ale,Dragonmead Microbrewery,Belgian Strong Pale Ale,8
Death By Coconut,Oskar Blues Brewery,Porter - Other,6.5
Devil Dog,Roak Brewing Co.,Stout - Oatmeal,8.5
Devil's Backbone,Real Ale Brewing Company,Belgian Tripel,8.1
DirtWolf,Victory Brewing Company,IPA - Imperial / Double,8.7
Dirty Bastard,Founders Brewing Co.,Scotch Ale / Wee Heavy,8.5
Dirty Blonde,Atwater Brewery,Witbier,4.5
Distorter,Greenbush Brewing Company,Porter - Other,7.2
Dolly Dagger,Short's Brewing Company,IPA - Belgian,7.4
Dortmunder Gold,Great Lakes Brewing Company ,Lager - Dortmunder / Export,5.8
Dos Equis Ambar,Cervecería Cuauhtémoc Moctezuma S.A. de C.V.,Lager -  Vienna / Amber,4.7
Double Crooked Tree IPA,Dark Horse Brewing Co.,IPA - Imperial / Double,12
Double Stout,Green Flash Brewing Company,Stout - American Imperial / Double,8.8
Double Trouble,Founders Brewing Co.,IPA - Imperial / Double,9.4
Downtown Dunkel,Tenacity Brewing,Dunkelweizen,4.5
Dr. Zeus,Short's Brewing Company,IPA - English,4.8
Dragon's Milk,New Holland Brewing Company,Stout - American Imperial / Double,11
Dragon's Milk Reserve: Triple-Mashed Stout (2015),New Holland Brewing Company,Stout - American Imperial / Double,14
Dragon's Milk Reserve: With Raspberries (2014),New Holland Brewing Company,Stout - American Imperial / Double,11
Dragon's Milk Reserve: With Raspberries (2015),New Holland Brewing Company,Stout - Imperial / Double,11
Dragon's Milk Reserve: With Toasted Chiles,New Holland Brewing Company,Stout - American Imperial / Double,11
Drew & Steve's Imperial Mutt Brown Ale (Spotlight Series),Stone Brewing Company,Brown Ale - Imperial / Double,9
Drioma,Red Rock Brewing Co.,Stout - Russian Imperial,10.1
DRIPA,Kuhnhenn Brewing Company ,IPA - Imperial / Double,9.5
Dubbel Dragon,Dragonmead Microbrewery,Belgian Dubbel,7.2
Dubbel Vision,Bastone Brewery,Belgian Strong Dark Ale,7.5
Dubhghaill's Irish Stout,ThumbCoast Brewing Company,Stout - Irish Dry,4.9
Duchesse de Bourgogne,Brouwerij Verhaeghe,Flanders Red Ale,6.2
duganA IPA,Avery Brewing Company,IPA - Imperial / Double,8.5
Dulle Teve 10º (Mad Bitch),Brouwerij De Dolle Brouwers,Belgian Tripel,10
Dundee India Pale Ale,Dundee Ales & Lagers,IPA - American,6.3
Dundee Pale Ale,Dundee Ales & Lagers,Pale Ale - American,5.3
Dundee Pale Bock Lager,Dundee Ales & Lagers,Maibock/Helles Bock,6.25
Dunegräs,Greenbush Brewing Company,IPA - American,6.7
Dunkel Munich Lager,Squatters Craft Beers,Lager - Dunkel Munich,4
Dwarf Invasion,B. Nektar Meadery,Mead,6
Earth-Like Planets,Brewery Vivant,Pale Ale - Belgian,5.4
Edmund Fitzgerald,Great Lakes Brewing Company ,Porter - American,5.8
Edward's Portly Brown,Witch's Hat Brewing Co.,Brown Ale - American,5.5
Egoiste,Brewery Vivant,Smoked Beer,6.5
El Chavo,Blake's Hard Cider Company,Cider,6.5
El Rojo Red Ale,Griffin Claw Brewing Company,Red Ale - American Amber / Red,6.5
Enjoy By 02.14.16 Black IPA,Stone Brewing Company,IPA - Imperial / Double Black,9.4
Envy Amber,Circle Brewing Co.,Red Ale - American Amber / Red,4.8
Erzulie,Omnipollo,Barleywine - American,13
ESB Amber,Saugatuck Brewing Company,Extra Special / Strong Bitter,5.5
Espresso Stout On Nitro,Squatters Craft Beers,Stout - Other,4
Even Keel,Ballast Point Brewing & Spirits,IPA - Session / India Session Ale,3.8
Evolution Amber Ale,Wasatch Brewery,Red Ale - American Amber / Red,4
Falling Cow,Falling Down Beer Company,Stout - Milk / Sweet,5.7
Farmers Direct Coffee Stout,Witch's Hat Brewing Co.,Stout - Other,3.8
Fat Paczki,Brewery Vivant,Belgian Dubbel,7.5
Fat Tire,New Belgium Brewing Company,Red Ale - American Amber / Red,5.2
Femme Fatale Yuzu Pale,Evil Twin Brewing,IPA - American,6
Fifth Voyage Coconut Porter,Cranker's Brewery,Porter - Other,6.3
Fig Jam Quadruple,Arbor Brewing Company Microbrewery,Belgian Quad,11.7
Final Absolution,Dragonmead Microbrewery,Belgian Tripel,8.5
Finestkind IPA,Smuttynose Brewing Co.,IPA - American,6.9
Firemans #4,Real Ale Brewing Company,Blonde Ale,5.1
Flight of the Angry Beast,Clown Shoes,Stout - Imperial / Double,12
Flower Power,Harmony Brewing Company,Pale Ale - American,5.5
Flying Buffalo Bourbon Imperial Stout (2013),Griffin Claw Brewing Company,Stout - American Imperial / Double,12
Flying Buffalo Russian Imperial Stout,Griffin Claw Brewing Company,Stout - Russian Imperial,11
Fool Hearted IPA,Tenacity Brewing,IPA - American,6.5
For Pete's Sake,Greenbush Brewing Company,Specialty Grain,6
Fort,Dogfish Head Craft Brewery,Fruit Beer,18
Four Hopsmen - Comet Dry Hopped,Oskar Blues Brewery,Pale Ale - American,5.2
Four Hopsmen - HBC Experimental Dry Hopped,Oskar Blues Brewery,Pale Ale - American,5.2
Four Hopsmen - Hop Head Farms Experimental Dry Hopped,Oskar Blues Brewery,Pale Ale - American,5.2
Four Hopsmen - Mandarina Bavaria Dry Hopped,Oskar Blues Brewery,Pale Ale - American,5.2
Frankie's Root Bier,Frankenmuth Brewery,Root Beer,0
Fresh Prince,Right Brain Brewery,IPA - American,5.8
Fuego del Otoño,Jolly Pumpkin Artisan Ales,Bière de Garde,6.1
Full Circle,New Holland Brewing Company,Kölsch,4.9
Full On IPA,B.O.B.'s Brewery,IPA - American,6.3
Fulton & Wood Rasselbock,Goose Island Beer Co.,Bock,6.8
Game Of Thrones - Take The Black Stout,Brewery Ommegang,Stout - Other,7
Game of Thrones - Three Eyed Raven,Brewery Ommegang,Saison / Farmhouse Ale,7.2
Genius Of Suburbia,Flying Monkeys Craft Brewery,IPA - Session / India Session Ale,3.8
George Killian's Irish Stout,Coors Brewing Company,Stout - Irish Dry,4.8
German-Style Dark,Frankenmuth Brewery,Dark Ale,0
Gimme S'more,Against the Grain Brewery & Smokehouse (Kentucky),Smoked Beer,8.2
Ginger Peach Cider,Vander Mill,Cider,6.9
Gingerbread Milk Brown,The Hideout Brewing Company,Brown Ale - American,9.2
Gluteus Minimus,Tilted Axis Brewing Company,Gluten-Free,0
Going Steady IPA,Atwater Brewery,IPA - Session / India Session Ale,4.6
Gold Ale,Perrin Brewing Co.,Golden Ale,4.8
Golden,Molson Coors Canada,Blonde Ale,5
Golden Monkey,Victory Brewing Company,Belgian Tripel,9.5
Golden Spike Hefeweizen,Uinta Brewing Company,Hefeweizen,4
Goose IPA,Goose Island Beer Co.,IPA - English,5.9
Grand Circus IPA,Atwater Brewery,IPA - American,4.5
Grand Cru,Rochester Mills Beer Co.,Belgian Strong Dark Ale,8.3
Grand Trunk Bohemian Pils,Griffin Claw Brewing Company,Pilsner - Other,5
